# Orbit traces

These are some well-studied Collatz sequences, given in odd-to-odd Collatz order. The tables show an extended residue vector for each odd n on the orbit, *between* those of the 2-adic odd cores of its immediate even neighbors, and their associated residues.

When reading the tables, n is the center row in each group of three. Columns are:
oc,k,dist,base3,base2,m3,m5,m7,m11,m13,m17,m19,m23,m29,m31,m37,m41,m43,m47,m53,m59,m61,m67,m71


## Collatz orbit of 5

2051,0,10,2210222,100000000011,2,1,0,5,10,11,18,4,21,5,16,1,30,30,37,45,38,41,63
513,2,10,201000,1000000001,0,3,2,7,6,3,0,7,20,17,32,21,40,43,36,41,25,44,16 # oc(2051+1)

769,2,9,1001111,1100000001,1,4,6,10,2,4,9,10,15,25,29,31,38,17,27,2,37,32,59 # oc(3077-1)
3077,0,9,11012222,110000000101,2,2,4,8,9,0,18,18,3,8,6,2,24,22,3,9,27,62,24
1539,1,9,2010000,11000000011,0,4,6,10,5,9,0,21,2,20,22,22,34,35,2,5,14,65,48 # oc(3077+1)

9,6,6,100,1001,0,4,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9 # oc(577-1)
577,0,8,210101,1001000001,1,2,3,5,5,16,7,2,26,19,22,3,18,13,47,46,28,41,9
289,1,8,101201,100100001,1,4,2,3,3,0,4,13,28,10,30,2,31,7,24,53,45,21,5 # oc(577+1)

27,4,41,1000,11011,0,2,6,5,1,10,8,4,27,27,27,27,27,27,27,27,27,27,27 # oc(433-1)
433,0,7,121001,110110001,1,3,6,4,4,8,15,19,27,30,26,23,3,10,9,20,6,31,7
217,1,7,22001,11011001,1,2,0,8,9,13,8,10,14,0,32,12,2,29,5,40,34,16,4 # oc(433+1)

81,2,6,10000,1010001,0,1,4,4,3,13,5,12,23,19,7,40,38,34,28,22,20,14,10 # oc(325-1)
325,0,6,110001,101000101,1,0,3,6,0,2,2,3,6,15,29,38,24,43,7,30,20,57,41
163,1,6,20001,10100011,1,3,2,9,7,10,11,2,18,8,15,40,34,22,4,45,41,29,21 # oc(325+1)

15,2,5,120,1111,0,0,1,4,2,15,15,15,15,15,15,15,15,15,15,15,15,15,15 # oc(61-1)
61,0,5,2021,111101,1,1,5,6,9,10,4,15,3,30,24,20,18,14,8,2,0,61,61
31,1,39,1011,11111,1,1,3,9,5,14,12,8,2,0,31,31,31,31,31,31,31,31,31 # oc(61+1)

11,1,4,102,1011,2,1,4,0,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11 # oc(23-1)
23,0,4,212,10111,2,3,2,1,10,6,4,0,23,23,23,23,23,23,23,23,23,23,23
3,3,2,10,11,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3 # oc(23+1)

17,1,3,122,10001,2,2,3,6,4,0,17,17,17,17,17,17,17,17,17,17,17,17,17 # oc(35-1)
35,0,3,1022,100011,2,0,0,2,9,1,16,12,6,4,35,35,35,35,35,35,35,35,35
9,2,6,100,1001,0,4,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9 # oc(35+1)

13,2,2,111,1101,1,3,6,2,0,13,13,13,13,13,13,13,13,13,13,13,13,13,13 # oc(53-1)
53,0,2,1222,110101,2,3,4,9,1,2,15,7,24,22,16,12,10,6,0,53,53,53,53
27,1,41,1000,11011,0,2,6,5,1,10,8,4,27,27,27,27,27,27,27,27,27,27,27 # oc(53+1)

1,2,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1 # oc(5-1)
5,0,1,12,101,2,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
3,1,2,10,11,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3 # oc(5+1)


## Collatz orbit of 73

9,3,6,100,1001,0,4,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9 # oc(73-1)
73,0,42,2201,1001001,1,3,3,7,8,5,16,4,15,11,36,32,30,26,20,14,12,6,2
37,1,6,1101,100101,1,2,2,4,11,3,18,14,8,6,0,37,37,37,37,37,37,37,37 # oc(73+1)

27,1,41,1000,11011,0,2,6,5,1,10,8,4,27,27,27,27,27,27,27,27,27,27,27 # oc(55-1)
55,0,41,2001,110111,1,0,6,0,3,4,17,9,26,24,18,14,12,8,2,55,55,55,55
7,3,5,21,111,1,2,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7 # oc(55+1)

41,1,40,1112,101001,2,1,6,8,2,7,3,18,12,10,4,0,41,41,41,41,41,41,41 # oc(83-1)
83,0,40,10002,1010011,2,3,6,6,5,15,7,14,25,21,9,1,40,36,30,24,22,16,12
21,2,1,210,10101,0,1,0,10,8,4,2,21,21,21,21,21,21,21,21,21,21,21,21 # oc(83+1)

31,2,39,1011,11111,1,1,3,9,5,14,12,8,2,0,31,31,31,31,31,31,31,31,31 # oc(125-1)
125,0,39,11122,1111101,2,0,6,4,8,6,11,10,9,1,14,2,39,31,19,7,3,58,54
63,1,39,2100,111111,0,3,0,8,11,12,6,17,5,1,26,22,20,16,10,4,2,63,63 # oc(125+1)

23,1,4,212,10111,2,3,2,1,10,6,4,0,23,23,23,23,23,23,23,23,23,23,23 # oc(47-1)
47,0,38,1202,101111,2,2,5,3,8,13,9,1,18,16,10,6,4,0,47,47,47,47,47
3,4,2,10,11,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3 # oc(47+1)

35,1,3,1022,100011,2,0,0,2,9,1,16,12,6,4,35,35,35,35,35,35,35,35,35 # oc(71-1)
71,0,37,2122,1000111,2,1,1,5,6,3,14,2,13,9,34,30,28,24,18,12,10,4,0
9,3,6,100,1001,0,4,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9 # oc(71+1)

53,1,2,1222,110101,2,3,4,9,1,2,15,7,24,22,16,12,10,6,0,53,53,53,53 # oc(107-1)
107,0,36,10222,1101011,2,2,2,8,3,5,12,15,20,14,33,25,21,13,1,48,46,40,36
27,2,41,1000,11011,0,2,6,5,1,10,8,4,27,27,27,27,27,27,27,27,27,27,27 # oc(107+1)

5,5,1,12,101,2,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5 # oc(161-1)
161,0,35,12222,10100001,2,1,0,7,5,8,9,0,16,6,13,38,32,20,2,43,39,27,19
81,1,6,10000,1010001,0,1,4,4,3,13,5,12,23,19,7,40,38,34,28,22,20,14,10 # oc(161+1)

15,3,5,120,1111,0,0,1,4,2,15,15,15,15,15,15,15,15,15,15,15,15,15,15 # oc(121-1)
121,0,34,11111,1111001,1,1,2,0,4,2,7,6,5,28,10,39,35,27,15,3,60,54,50
61,1,5,2021,111101,1,1,5,6,9,10,4,15,3,30,24,20,18,14,8,2,0,61,61 # oc(121+1)

45,1,4,1200,101101,0,0,3,1,6,11,7,22,16,14,8,4,2,45,45,45,45,45,45 # oc(91-1)
91,0,33,10101,1011011,1,1,0,3,0,6,15,22,4,29,17,9,5,44,38,32,30,24,20
23,2,4,212,10111,2,3,2,1,10,6,4,0,23,23,23,23,23,23,23,23,23,23,23 # oc(91+1)

17,3,3,122,10001,2,2,3,6,4,0,17,17,17,17,17,17,17,17,17,17,17,17,17 # oc(137-1)
137,0,32,12002,10001001,2,2,4,5,7,1,4,22,21,13,26,14,8,43,31,19,15,3,66
69,1,3,2120,1000101,0,4,6,3,4,1,12,0,11,7,32,28,26,22,16,10,8,2,69 # oc(137+1)

51,1,7,1220,110011,0,1,2,7,12,0,13,5,22,20,14,10,8,4,51,51,51,51,51 # oc(103-1)
103,0,31,10211,1100111,1,3,5,4,12,1,8,11,16,10,29,21,17,9,50,44,42,36,32
13,3,2,111,1101,1,3,6,2,0,13,13,13,13,13,13,13,13,13,13,13,13,13,13 # oc(103+1)

77,1,6,2212,1001101,2,2,0,0,12,9,1,8,19,15,3,36,34,30,24,18,16,10,6 # oc(155-1)
155,0,30,12202,10011011,2,0,1,1,12,2,3,17,10,0,7,32,26,14,49,37,33,21,13
39,2,11,1110,100111,0,4,4,6,0,5,1,16,10,8,2,39,39,39,39,39,39,39,39 # oc(155+1)

29,3,5,1002,11101,2,4,1,7,3,12,10,6,0,29,29,29,29,29,29,29,29,29,29 # oc(233-1)
233,0,29,22122,11101001,2,3,2,2,12,12,5,3,1,16,11,28,18,45,21,56,50,32,20
117,1,5,11100,1110101,0,2,5,7,0,15,3,2,1,24,6,35,31,23,11,58,56,50,46 # oc(233+1)

87,1,9,10020,1010111,0,2,3,10,9,2,11,18,0,25,13,5,1,40,34,28,26,20,16 # oc(175-1)
175,0,28,20111,10101111,1,0,0,10,6,5,4,14,1,20,27,11,3,34,16,57,53,41,33
11,4,4,102,1011,2,1,4,0,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11 # oc(175+1)

131,1,8,11212,10000011,2,1,5,10,1,12,17,16,15,7,20,8,2,37,25,13,9,64,60 # oc(263-1)
263,0,27,100202,100000111,2,3,4,10,3,8,16,10,2,15,4,17,5,28,51,27,19,62,50
33,3,8,1020,100001,0,3,5,0,7,16,14,10,4,2,33,33,33,33,33,33,33,33,33 # oc(263+1)

197,1,7,21022,11000101,2,2,1,10,2,10,7,13,23,11,12,33,25,9,38,20,14,63,55 # oc(395-1)
395,0,26,112122,110001011,2,0,3,10,5,4,15,4,18,23,25,26,8,19,24,41,29,60,40
99,2,7,10200,1100011,0,4,1,0,8,14,4,7,12,6,25,17,13,5,46,40,38,32,28 # oc(395+1)

37,4,6,1101,100101,1,2,2,4,11,3,18,14,8,6,0,37,37,37,37,37,37,37,37 # oc(593-1)
593,0,25,210222,1001010001,2,3,5,10,8,15,4,18,13,4,1,19,34,29,10,3,44,57,25
297,1,25,102000,100101001,0,2,3,0,11,8,12,21,7,18,1,10,39,15,32,2,53,29,13 # oc(593+1)

111,2,24,11010,1101111,0,1,6,1,7,9,16,19,24,18,0,29,25,17,5,52,50,44,40 # oc(445-1)
445,0,24,121111,110111101,1,0,4,5,3,3,8,8,10,11,1,35,15,22,21,32,18,43,19
223,1,24,22021,11011111,1,3,6,3,2,2,14,16,20,6,1,18,8,35,11,46,40,22,10 # oc(445+1)

83,1,40,10002,1010011,2,3,6,6,5,15,7,14,25,21,9,1,40,36,30,24,22,16,12 # oc(167-1)
167,0,23,20012,10100111,2,2,6,2,11,14,15,6,22,12,19,3,38,26,8,49,45,33,25
21,3,1,210,10101,0,1,0,10,8,4,2,21,21,21,21,21,21,21,21,21,21,21,21 # oc(167+1)

125,1,39,11122,1111101,2,0,6,4,8,6,11,10,9,1,14,2,39,31,19,7,3,58,54 # oc(251-1)
251,0,22,100022,11111011,2,1,6,9,4,13,4,21,19,3,29,5,36,16,39,15,7,50,38
63,2,39,2100,111111,0,3,0,8,11,12,6,17,5,1,26,22,20,16,10,4,2,63,63 # oc(251+1)

47,3,38,1202,101111,2,2,5,3,8,13,9,1,18,16,10,6,4,0,47,47,47,47,47 # oc(377-1)
377,0,21,111222,101111001,2,2,6,3,0,3,16,9,0,5,7,8,33,1,6,23,11,42,22
189,1,38,21000,10111101,0,4,0,2,7,2,18,5,15,3,4,25,17,1,30,12,6,55,47 # oc(377+1)

141,1,3,12020,10001101,0,1,1,9,11,5,8,3,25,17,30,18,12,0,35,23,19,7,70 # oc(283-1)
283,0,20,101111,100011011,1,3,3,8,10,11,17,7,22,4,24,37,25,1,18,47,39,15,70
71,2,37,2122,1000111,2,1,1,5,6,3,14,2,13,9,34,30,28,24,18,12,10,4,0 # oc(283+1)

53,3,2,1222,110101,2,3,4,9,1,2,15,7,24,22,16,12,10,6,0,53,53,53,53 # oc(425-1)
425,0,19,120202,110101001,2,0,5,7,9,0,7,11,19,22,18,15,38,2,1,12,59,23,70
213,1,2,21220,11010101,0,3,3,4,5,9,4,6,10,27,28,8,41,25,1,36,30,12,0 # oc(425+1)

159,1,18,12220,10011111,0,4,5,5,3,6,7,21,14,4,11,36,30,18,0,41,37,25,17 # oc(319-1)
319,0,18,102211,100111111,1,4,4,0,7,13,15,20,0,9,23,32,18,37,1,24,14,51,35
5,6,1,12,101,2,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5 # oc(319+1)

239,1,17,22212,11101111,2,4,1,8,5,1,11,9,7,22,17,34,24,4,27,3,56,38,26 # oc(479-1)
479,0,17,122202,111011111,2,4,3,6,11,3,4,19,15,14,35,28,6,9,2,7,52,10,53
15,5,5,120,1111,0,0,1,4,2,15,15,15,15,15,15,15,15,15,15,15,15,15,15 # oc(479+1)

359,1,16,111022,101100111,2,4,2,7,8,2,17,14,11,18,26,31,15,30,41,5,54,24,4 # oc(719-1)
719,0,16,222122,1011001111,2,4,5,4,4,5,16,6,23,6,16,22,31,14,30,11,48,49,9
45,4,4,1200,101101,0,0,3,1,6,11,7,22,16,14,8,4,2,45,45,45,45,45,45 # oc(719+1)

539,1,15,201222,1000011011,2,4,0,0,6,12,7,10,17,12,21,6,23,22,9,8,51,3,42 # oc(1079-1)
1079,0,15,1110222,10000110111,2,4,1,1,0,8,15,21,6,25,6,13,4,45,19,17,42,7,14
135,3,13,12000,10000111,0,0,2,3,5,16,2,20,19,11,24,12,6,41,29,17,13,1,64 # oc(1079+1)

809,1,14,1002222,1100101001,2,4,4,6,3,10,11,4,26,3,32,30,35,10,14,42,16,5,28 # oc(1619-1)
1619,0,14,2012222,11001010011,2,4,2,2,7,4,4,9,24,7,28,20,28,21,29,26,33,11,57
405,2,7,120000,110010101,0,0,6,9,2,14,6,14,28,2,35,36,18,29,34,51,39,3,50 # oc(1619+1)

607,2,13,211111,1001011111,1,2,5,2,9,12,18,9,27,18,15,33,5,43,24,17,58,4,39 # oc(2429-1)
2429,0,13,10022222,100101111101,2,4,0,9,11,15,16,14,22,11,24,10,21,32,44,10,50,17,15
1215,1,59,1200000,10010111111,0,0,4,5,6,8,18,19,26,6,31,26,11,40,49,35,56,9,8 # oc(2429+1)

455,1,12,121212,111000111,2,0,0,4,0,13,18,18,20,21,11,4,25,32,31,42,28,53,29 # oc(911-1)
911,0,12,1020202,1110001111,2,1,1,9,1,10,18,14,12,12,23,9,8,18,10,26,57,40,59
57,4,10,2010,111001,0,2,1,2,5,6,0,11,28,26,20,16,14,10,4,57,57,57,57 # oc(911+1)

683,1,11,221022,1010101011,2,3,4,1,7,3,18,16,16,1,17,27,38,25,47,34,12,13,44 # oc(1367-1)
1367,0,11,1212122,10101010111,2,2,2,3,2,7,18,10,4,3,35,14,34,4,42,10,25,27,18
171,3,45,20100,10101011,0,1,3,6,2,1,0,10,26,16,23,7,42,30,12,53,49,37,29 # oc(1367+1)

1025,1,10,1101222,10000000001,2,0,3,2,11,5,18,13,10,2,26,0,36,38,18,22,49,20,31 # oc(2051-1)
2051,0,10,2210222,100000000011,2,1,0,5,10,11,18,4,21,5,16,1,30,30,37,45,38,41,63
513,2,10,201000,1000000001,0,3,2,7,6,3,0,7,20,17,32,21,40,43,36,41,25,44,16 # oc(2051+1)

769,2,9,1001111,1100000001,1,4,6,10,2,4,9,10,15,25,29,31,38,17,27,2,37,32,59 # oc(3077-1)
3077,0,9,11012222,110000000101,2,2,4,8,9,0,18,18,3,8,6,2,24,22,3,9,27,62,24
1539,1,9,2010000,11000000011,0,4,6,10,5,9,0,21,2,20,22,22,34,35,2,5,14,65,48 # oc(3077+1)

9,6,6,100,1001,0,4,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9 # oc(577-1)
577,0,8,210101,1001000001,1,2,3,5,5,16,7,2,26,19,22,3,18,13,47,46,28,41,9
289,1,8,101201,100100001,1,4,2,3,3,0,4,13,28,10,30,2,31,7,24,53,45,21,5 # oc(577+1)

27,4,41,1000,11011,0,2,6,5,1,10,8,4,27,27,27,27,27,27,27,27,27,27,27 # oc(433-1)
433,0,7,121001,110110001,1,3,6,4,4,8,15,19,27,30,26,23,3,10,9,20,6,31,7
217,1,7,22001,11011001,1,2,0,8,9,13,8,10,14,0,32,12,2,29,5,40,34,16,4 # oc(433+1)

81,2,6,10000,1010001,0,1,4,4,3,13,5,12,23,19,7,40,38,34,28,22,20,14,10 # oc(325-1)
325,0,6,110001,101000101,1,0,3,6,0,2,2,3,6,15,29,38,24,43,7,30,20,57,41
163,1,6,20001,10100011,1,3,2,9,7,10,11,2,18,8,15,40,34,22,4,45,41,29,21 # oc(325+1)

15,2,5,120,1111,0,0,1,4,2,15,15,15,15,15,15,15,15,15,15,15,15,15,15 # oc(61-1)
61,0,5,2021,111101,1,1,5,6,9,10,4,15,3,30,24,20,18,14,8,2,0,61,61
31,1,39,1011,11111,1,1,3,9,5,14,12,8,2,0,31,31,31,31,31,31,31,31,31 # oc(61+1)

11,1,4,102,1011,2,1,4,0,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11 # oc(23-1)
23,0,4,212,10111,2,3,2,1,10,6,4,0,23,23,23,23,23,23,23,23,23,23,23
3,3,2,10,11,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3 # oc(23+1)

17,1,3,122,10001,2,2,3,6,4,0,17,17,17,17,17,17,17,17,17,17,17,17,17 # oc(35-1)
35,0,3,1022,100011,2,0,0,2,9,1,16,12,6,4,35,35,35,35,35,35,35,35,35
9,2,6,100,1001,0,4,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9 # oc(35+1)

13,2,2,111,1101,1,3,6,2,0,13,13,13,13,13,13,13,13,13,13,13,13,13,13 # oc(53-1)
53,0,2,1222,110101,2,3,4,9,1,2,15,7,24,22,16,12,10,6,0,53,53,53,53
27,1,41,1000,11011,0,2,6,5,1,10,8,4,27,27,27,27,27,27,27,27,27,27,27 # oc(53+1)

1,2,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1 # oc(5-1)
5,0,1,12,101,2,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
3,1,2,10,11,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3 # oc(5+1)


## Collatz orbit of 97

3,5,2,10,11,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3 # oc(97-1)
97,0,43,10121,1100001,1,2,6,9,6,12,2,5,10,4,23,15,11,3,44,38,36,30,26
49,1,7,1211,110001,1,4,0,5,10,15,11,3,20,18,12,8,6,2,49,49,49,49,49 # oc(97+1)

9,3,6,100,1001,0,4,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9 # oc(73-1)
73,0,42,2201,1001001,1,3,3,7,8,5,16,4,15,11,36,32,30,26,20,14,12,6,2
37,1,6,1101,100101,1,2,2,4,11,3,18,14,8,6,0,37,37,37,37,37,37,37,37 # oc(73+1)

27,1,41,1000,11011,0,2,6,5,1,10,8,4,27,27,27,27,27,27,27,27,27,27,27 # oc(55-1)
55,0,41,2001,110111,1,0,6,0,3,4,17,9,26,24,18,14,12,8,2,55,55,55,55
7,3,5,21,111,1,2,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7 # oc(55+1)

41,1,40,1112,101001,2,1,6,8,2,7,3,18,12,10,4,0,41,41,41,41,41,41,41 # oc(83-1)
83,0,40,10002,1010011,2,3,6,6,5,15,7,14,25,21,9,1,40,36,30,24,22,16,12
21,2,1,210,10101,0,1,0,10,8,4,2,21,21,21,21,21,21,21,21,21,21,21,21 # oc(83+1)

31,2,39,1011,11111,1,1,3,9,5,14,12,8,2,0,31,31,31,31,31,31,31,31,31 # oc(125-1)
125,0,39,11122,1111101,2,0,6,4,8,6,11,10,9,1,14,2,39,31,19,7,3,58,54
63,1,39,2100,111111,0,3,0,8,11,12,6,17,5,1,26,22,20,16,10,4,2,63,63 # oc(125+1)

23,1,4,212,10111,2,3,2,1,10,6,4,0,23,23,23,23,23,23,23,23,23,23,23 # oc(47-1)
47,0,38,1202,101111,2,2,5,3,8,13,9,1,18,16,10,6,4,0,47,47,47,47,47
3,4,2,10,11,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3 # oc(47+1)

35,1,3,1022,100011,2,0,0,2,9,1,16,12,6,4,35,35,35,35,35,35,35,35,35 # oc(71-1)
71,0,37,2122,1000111,2,1,1,5,6,3,14,2,13,9,34,30,28,24,18,12,10,4,0
9,3,6,100,1001,0,4,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9 # oc(71+1)

53,1,2,1222,110101,2,3,4,9,1,2,15,7,24,22,16,12,10,6,0,53,53,53,53 # oc(107-1)
107,0,36,10222,1101011,2,2,2,8,3,5,12,15,20,14,33,25,21,13,1,48,46,40,36
27,2,41,1000,11011,0,2,6,5,1,10,8,4,27,27,27,27,27,27,27,27,27,27,27 # oc(107+1)

5,5,1,12,101,2,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5 # oc(161-1)
161,0,35,12222,10100001,2,1,0,7,5,8,9,0,16,6,13,38,32,20,2,43,39,27,19
81,1,6,10000,1010001,0,1,4,4,3,13,5,12,23,19,7,40,38,34,28,22,20,14,10 # oc(161+1)

15,3,5,120,1111,0,0,1,4,2,15,15,15,15,15,15,15,15,15,15,15,15,15,15 # oc(121-1)
121,0,34,11111,1111001,1,1,2,0,4,2,7,6,5,28,10,39,35,27,15,3,60,54,50
61,1,5,2021,111101,1,1,5,6,9,10,4,15,3,30,24,20,18,14,8,2,0,61,61 # oc(121+1)

45,1,4,1200,101101,0,0,3,1,6,11,7,22,16,14,8,4,2,45,45,45,45,45,45 # oc(91-1)
91,0,33,10101,1011011,1,1,0,3,0,6,15,22,4,29,17,9,5,44,38,32,30,24,20
23,2,4,212,10111,2,3,2,1,10,6,4,0,23,23,23,23,23,23,23,23,23,23,23 # oc(91+1)

17,3,3,122,10001,2,2,3,6,4,0,17,17,17,17,17,17,17,17,17,17,17,17,17 # oc(137-1)
137,0,32,12002,10001001,2,2,4,5,7,1,4,22,21,13,26,14,8,43,31,19,15,3,66
69,1,3,2120,1000101,0,4,6,3,4,1,12,0,11,7,32,28,26,22,16,10,8,2,69 # oc(137+1)

51,1,7,1220,110011,0,1,2,7,12,0,13,5,22,20,14,10,8,4,51,51,51,51,51 # oc(103-1)
103,0,31,10211,1100111,1,3,5,4,12,1,8,11,16,10,29,21,17,9,50,44,42,36,32
13,3,2,111,1101,1,3,6,2,0,13,13,13,13,13,13,13,13,13,13,13,13,13,13 # oc(103+1)

77,1,6,2212,1001101,2,2,0,0,12,9,1,8,19,15,3,36,34,30,24,18,16,10,6 # oc(155-1)
155,0,30,12202,10011011,2,0,1,1,12,2,3,17,10,0,7,32,26,14,49,37,33,21,13
39,2,11,1110,100111,0,4,4,6,0,5,1,16,10,8,2,39,39,39,39,39,39,39,39 # oc(155+1)

29,3,5,1002,11101,2,4,1,7,3,12,10,6,0,29,29,29,29,29,29,29,29,29,29 # oc(233-1)
233,0,29,22122,11101001,2,3,2,2,12,12,5,3,1,16,11,28,18,45,21,56,50,32,20
117,1,5,11100,1110101,0,2,5,7,0,15,3,2,1,24,6,35,31,23,11,58,56,50,46 # oc(233+1)

87,1,9,10020,1010111,0,2,3,10,9,2,11,18,0,25,13,5,1,40,34,28,26,20,16 # oc(175-1)
175,0,28,20111,10101111,1,0,0,10,6,5,4,14,1,20,27,11,3,34,16,57,53,41,33
11,4,4,102,1011,2,1,4,0,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11 # oc(175+1)

131,1,8,11212,10000011,2,1,5,10,1,12,17,16,15,7,20,8,2,37,25,13,9,64,60 # oc(263-1)
263,0,27,100202,100000111,2,3,4,10,3,8,16,10,2,15,4,17,5,28,51,27,19,62,50
33,3,8,1020,100001,0,3,5,0,7,16,14,10,4,2,33,33,33,33,33,33,33,33,33 # oc(263+1)

197,1,7,21022,11000101,2,2,1,10,2,10,7,13,23,11,12,33,25,9,38,20,14,63,55 # oc(395-1)
395,0,26,112122,110001011,2,0,3,10,5,4,15,4,18,23,25,26,8,19,24,41,29,60,40
99,2,7,10200,1100011,0,4,1,0,8,14,4,7,12,6,25,17,13,5,46,40,38,32,28 # oc(395+1)

37,4,6,1101,100101,1,2,2,4,11,3,18,14,8,6,0,37,37,37,37,37,37,37,37 # oc(593-1)
593,0,25,210222,1001010001,2,3,5,10,8,15,4,18,13,4,1,19,34,29,10,3,44,57,25
297,1,25,102000,100101001,0,2,3,0,11,8,12,21,7,18,1,10,39,15,32,2,53,29,13 # oc(593+1)

111,2,24,11010,1101111,0,1,6,1,7,9,16,19,24,18,0,29,25,17,5,52,50,44,40 # oc(445-1)
445,0,24,121111,110111101,1,0,4,5,3,3,8,8,10,11,1,35,15,22,21,32,18,43,19
223,1,24,22021,11011111,1,3,6,3,2,2,14,16,20,6,1,18,8,35,11,46,40,22,10 # oc(445+1)

83,1,40,10002,1010011,2,3,6,6,5,15,7,14,25,21,9,1,40,36,30,24,22,16,12 # oc(167-1)
167,0,23,20012,10100111,2,2,6,2,11,14,15,6,22,12,19,3,38,26,8,49,45,33,25
21,3,1,210,10101,0,1,0,10,8,4,2,21,21,21,21,21,21,21,21,21,21,21,21 # oc(167+1)

125,1,39,11122,1111101,2,0,6,4,8,6,11,10,9,1,14,2,39,31,19,7,3,58,54 # oc(251-1)
251,0,22,100022,11111011,2,1,6,9,4,13,4,21,19,3,29,5,36,16,39,15,7,50,38
63,2,39,2100,111111,0,3,0,8,11,12,6,17,5,1,26,22,20,16,10,4,2,63,63 # oc(251+1)

47,3,38,1202,101111,2,2,5,3,8,13,9,1,18,16,10,6,4,0,47,47,47,47,47 # oc(377-1)
377,0,21,111222,101111001,2,2,6,3,0,3,16,9,0,5,7,8,33,1,6,23,11,42,22
189,1,38,21000,10111101,0,4,0,2,7,2,18,5,15,3,4,25,17,1,30,12,6,55,47 # oc(377+1)

141,1,3,12020,10001101,0,1,1,9,11,5,8,3,25,17,30,18,12,0,35,23,19,7,70 # oc(283-1)
283,0,20,101111,100011011,1,3,3,8,10,11,17,7,22,4,24,37,25,1,18,47,39,15,70
71,2,37,2122,1000111,2,1,1,5,6,3,14,2,13,9,34,30,28,24,18,12,10,4,0 # oc(283+1)

53,3,2,1222,110101,2,3,4,9,1,2,15,7,24,22,16,12,10,6,0,53,53,53,53 # oc(425-1)
425,0,19,120202,110101001,2,0,5,7,9,0,7,11,19,22,18,15,38,2,1,12,59,23,70
213,1,2,21220,11010101,0,3,3,4,5,9,4,6,10,27,28,8,41,25,1,36,30,12,0 # oc(425+1)

159,1,18,12220,10011111,0,4,5,5,3,6,7,21,14,4,11,36,30,18,0,41,37,25,17 # oc(319-1)
319,0,18,102211,100111111,1,4,4,0,7,13,15,20,0,9,23,32,18,37,1,24,14,51,35
5,6,1,12,101,2,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5 # oc(319+1)

239,1,17,22212,11101111,2,4,1,8,5,1,11,9,7,22,17,34,24,4,27,3,56,38,26 # oc(479-1)
479,0,17,122202,111011111,2,4,3,6,11,3,4,19,15,14,35,28,6,9,2,7,52,10,53
15,5,5,120,1111,0,0,1,4,2,15,15,15,15,15,15,15,15,15,15,15,15,15,15 # oc(479+1)

359,1,16,111022,101100111,2,4,2,7,8,2,17,14,11,18,26,31,15,30,41,5,54,24,4 # oc(719-1)
719,0,16,222122,1011001111,2,4,5,4,4,5,16,6,23,6,16,22,31,14,30,11,48,49,9
45,4,4,1200,101101,0,0,3,1,6,11,7,22,16,14,8,4,2,45,45,45,45,45,45 # oc(719+1)

539,1,15,201222,1000011011,2,4,0,0,6,12,7,10,17,12,21,6,23,22,9,8,51,3,42 # oc(1079-1)
1079,0,15,1110222,10000110111,2,4,1,1,0,8,15,21,6,25,6,13,4,45,19,17,42,7,14
135,3,13,12000,10000111,0,0,2,3,5,16,2,20,19,11,24,12,6,41,29,17,13,1,64 # oc(1079+1)

