# Condensed brief

## 2-adic odd core landscape

This is a list of integers in consecutive order. For every `n`:
- `oc` is the 2-adic "odd core" of the number, after removing all factors of 2. For odd numbers, oc is the number itself.
- `k` is the 2-adic exponent, the number of halvings (n = oc * 2^k). For odd numbers, k is always 0.
- `dist` is the odd-to-odd Collatz stopping distance of the odd core.
- residues of the odd core modulo a set of small primes follows (`m3`, `m5`, etc)

oc,k,dist,m3,m5,m7,m11,m13,m17,m19,m23,m29,m31
37,1,6,1,2,2,4,11,3,18,14,8,6
75,0,3,0,0,5,9,10,7,18,6,17,13
19,2,6,1,4,5,8,6,2,0,19,19,19
77,0,6,2,2,0,0,12,9,1,8,19,15
39,1,11,0,4,4,6,0,5,1,16,10,8
79,0,11,1,4,2,2,1,11,3,10,21,17
5,4,1,2,0,5,5,5,5,5,5,5,5
81,0,6,0,1,4,4,3,13,5,12,23,19
41,1,40,2,1,6,8,2,7,3,18,12,10
83,0,40,2,3,6,6,5,15,7,14,25,21
21,2,1,0,1,0,10,8,4,2,21,21,21
85,0,1,1,0,1,8,7,0,9,16,27,23
43,1,9,1,3,1,10,4,9,5,20,14,12
87,0,9,0,2,3,10,9,2,11,18,0,25
11,3,4,2,1,4,0,11,11,11,11,11,11
89,0,9,2,4,5,1,11,4,13,20,2,27
45,1,4,0,0,3,1,6,11,7,22,16,14
91,0,33,1,1,0,3,0,6,15,22,4,29
23,2,4,2,3,2,1,10,6,4,0,23,23
93,0,4,0,3,2,5,2,8,17,1,6,0
47,1,38,2,2,5,3,8,13,9,1,18,16
95,0,38,2,0,4,7,4,10,0,3,8,2
3,5,2,0,3,3,3,3,3,3,3,3,3
97,0,43,1,2,6,9,6,12,2,5,10,4
49,1,7,1,4,0,5,10,15,11,3,20,18
99,0,7,0,4,1,0,8,14,4,7,12,6
25,2,7,1,0,4,3,12,8,6,2,25,25
101,0,7,2,1,3,2,10,16,6,9,14,8
51,1,7,0,1,2,7,12,0,13,5,22,20
103,0,31,1,3,5,4,12,1,8,11,16,10
13,3,2,1,3,6,2,0,13,13,13,13,13
105,0,12,0,0,0,6,1,3,10,13,18,12
53,1,2,2,3,4,9,1,2,15,7,24,22
107,0,36,2,2,2,8,3,5,12,15,20,14
27,2,41,0,2,6,5,1,10,8,4,27,27
109,0,41,1,4,4,10,5,7,14,17,22,16
55,1,41,1,0,6,0,3,4,17,9,26,24
111,0,24,0,1,6,1,7,9,16,19,24,18
7,4,5,1,2,0,7,7,7,7,7,7,7
113,0,2,2,3,1,3,9,11,18,21,26,20
57,1,10,0,2,1,2,5,6,0,11,28,26
115,0,10,1,0,3,5,11,13,1,0,28,22
29,2,5,2,4,1,7,3,12,10,6,0,29
117,0,5,0,2,5,7,0,15,3,2,1,24
59,1,10,2,4,3,4,7,8,2,13,1,28
119,0,10,2,4,0,9,2,0,5,4,3,26
15,3,5,0,0,1,4,2,15,15,15,15,15
121,0,34,1,1,2,0,4,2,7,6,5,28
61,1,5,1,1,5,6,9,10,4,15,3,30
123,0,15,0,3,4,2,6,4,9,8,7,30
31,2,39,1,1,3,9,5,14,12,8,2,0
125,0,39,2,0,6,4,8,6,11,10,9,1
63,1,39,0,3,0,8,11,12,6,17,5,1
127,0,15,1,2,1,6,10,8,13,12,11,3
1,7,0,1,1,1,1,1,1,1,1,1,1
129,0,44,0,4,3,8,12,10,15,14,13,5
65,1,8,2,0,2,10,0,14,8,19,7,3
131,0,8,2,1,5,10,1,12,17,16,15,7
33,2,8,0,3,5,0,7,16,14,10,4,2
133,0,8,1,3,0,1,3,14,0,18,17,9
67,1,8,1,2,4,1,2,16,10,21,9,5
135,0,13,0,0,2,3,5,16,2,20,19,11
17,3,3,2,2,3,6,4,0,17,17,17,17
137,0,32,2,2,4,5,7,1,4,22,21,13
69,1,3,0,4,6,3,4,1,12,0,11,7
139,0,13,1,4,6,7,9,3,6,1,23,15
35,2,3,2,0,0,2,9,1,16,12,6,4
141,0,3,0,1,1,9,11,5,8,3,25,17
71,1,37,2,1,1,5,6,3,14,2,13,9
143,0,37,2,3,3,0,0,7,10,5,27,19
9,4,6,0,4,2,9,9,9,9,9,9,9
145,0,42,1,0,5,2,2,9,12,7,0,21
73,1,42,1,3,3,7,8,5,16,4,15,11
147,0,42,0,2,0,4,4,11,14,9,2,23
37,2,6,1,2,2,4,11,3,18,14,8,6
149,0,6,2,4,2,6,6,13,16,11,4,25
75,1,3,0,0,5,9,10,7,18,6,17,13
151,0,3,1,1,4,8,8,15,18,13,6,27
19,3,6,1,4,5,8,6,2,0,19,19,19
153,0,11,0,3,6,10,10,0,1,15,8,29
77,1,6,2,2,0,0,12,9,1,8,19,15
155,0,30,2,0,1,1,12,2,3,17,10,0
39,2,11,0,4,4,6,0,5,1,16,10,8
157,0,11,1,2,3,3,1,4,5,19,12,2
79,1,11,1,4,2,2,1,11,3,10,21,17
159,0,18,0,4,5,5,3,6,7,21,14,4
5,5,1,2,0,5,5,5,5,5,5,5,5
161,0,35,2,1,0,7,5,8,9,0,16,6
81,1,6,0,1,4,4,3,13,5,12,23,19
163,0,6,1,3,2,9,7,10,11,2,18,8
41,2,40,2,1,6,8,2,7,3,18,12,10
165,0,40,0,0,4,0,9,12,13,4,20,10
83,1,40,2,3,6,6,5,15,7,14,25,21
167,0,23,2,2,6,2,11,14,15,6,22,12
21,3,1,0,1,0,10,8,4,2,21,21,21
169,0,16,1,4,1,4,0,16,17,8,24,14
85,1,1,1,0,1,8,7,0,9,16,27,23
171,0,45,0,1,3,6,2,1,0,10,26,16
43,2,9,1,3,1,10,4,9,5,20,14,12
173,0,9,2,3,5,8,4,3,2,12,28,18
87,1,9,0,2,3,10,9,2,11,18,0,25
175,0,28,1,0,0,10,6,5,4,14,1,20
11,4,4,2,1,4,0,11,11,11,11,11,11
177,0,9,0,2,2,1,8,7,6,16,3,22
89,1,9,2,4,5,1,11,4,13,20,2,27
179,0,9,2,4,4,3,10,9,8,18,5,24
45,2,4,0,0,3,1,6,11,7,22,16,14
181,0,4,1,1,6,5,12,11,10,20,7,26
91,1,33,1,1,0,3,0,6,15,22,4,29
183,0,33,0,3,1,7,1,13,12,22,9,28
23,3,4,2,3,2,1,10,6,4,0,23,23
185,0,14,2,0,3,9,3,15,14,1,11,30
93,1,4,0,3,2,5,2,8,17,1,6,0
187,0,14,1,2,5,0,5,0,16,3,13,1
47,2,38,2,2,5,3,8,13,9,1,18,16
189,0,38,0,4,0,2,7,2,18,5,15,3
95,1,38,2,0,4,7,4,10,0,3,8,2
191,0,14,2,1,2,4,9,4,1,7,17,5
3,6,2,0,3,3,3,3,3,3,3,3,3
193,0,43,1,3,4,6,11,6,3,9,19,7
97,1,43,1,2,6,9,6,12,2,5,10,4
195,0,43,0,0,6,8,0,8,5,11,21,9
49,2,7,1,4,0,5,10,15,11,3,20,18
197,0,7,2,2,1,10,2,10,7,13,23,11
99,1,7,0,4,1,0,8,14,4,7,12,6
199,0,43,1,4,3,1,4,12,9,15,25,13
25,3,7,1,0,4,3,12,8,6,2,25,25
201,0,4,0,1,5,3,6,14,11,17,27,15
101,1,7,2,1,3,2,10,16,6,9,14,8
203,0,12,2,3,0,5,8,16,13,19,0,17
51,2,7,0,1,2,7,12,0,13,5,22,20
205,0,7,1,0,2,7,10,1,15,21,2,19
103,1,31,1,3,5,4,12,1,8,11,16,10
207,0,31,0,2,4,9,12,3,17,0,4,21
13,4,2,1,3,6,2,0,13,13,13,13,13
209,0,12,2,4,6,0,1,5,0,2,6,23
105,1,12,0,0,0,6,1,3,10,13,18,12
211,0,12,1,1,1,2,3,7,2,4,8,25
53,2,2,2,3,4,9,1,2,15,7,24,22
213,0,2,0,3,3,4,5,9,4,6,10,27
107,1,36,2,2,2,8,3,5,12,15,20,14
215,0,36,2,0,5,6,7,11,6,8,12,29
27,3,41,0,2,6,5,1,10,8,4,27,27
217,0,7,1,2,0,8,9,13,8,10,14,0
109,1,41,1,4,4,10,5,7,14,17,22,16
219,0,17,0,4,2,10,11,15,10,12,16,2
55,2,41,1,0,6,0,3,4,17,9,26,24
221,0,41,2,1,4,1,0,0,12,14,18,4
111,1,24,0,1,6,1,7,9,16,19,24,18
223,0,24,1,3,6,3,2,2,14,16,20,6
7,5,5,1,2,0,7,7,7,7,7,7,7
225,0,17,0,0,1,5,4,4,16,18,22,8
113,1,2,2,3,1,3,9,11,18,21,26,20
227,0,2,2,2,3,7,6,6,18,20,24,10
57,2,10,0,2,1,2,5,6,0,11,28,26
229,0,10,1,4,5,9,8,8,1,22,26,12
115,1,10,1,0,3,5,11,13,1,0,28,22
231,0,46,0,1,0,0,10,10,3,1,28,14
29,3,5,2,4,1,7,3,12,10,6,0,29
233,0,29,2,3,2,2,12,12,5,3,1,16
117,1,5,0,2,5,7,0,15,3,2,1,24
235,0,46,1,0,4,4,1,14,7,5,3,18
59,2,10,2,4,3,4,7,8,2,13,1,28
237,0,10,0,2,6,6,3,16,9,7,5,20
119,1,10,2,4,0,9,2,0,5,4,3,26
239,0,17,2,4,1,8,5,1,11,9,7,22
15,4,5,0,0,1,4,2,15,15,15,15,15
241,0,5,1,1,3,10,7,3,13,11,9,24
121,1,34,1,1,2,0,4,2,7,6,5,28
243,0,34,0,3,5,1,9,5,15,13,11,26
61,2,5,1,1,5,6,9,10,4,15,3,30
245,0,5,2,0,0,3,11,7,17,15,13,28
123,1,15,0,3,4,2,6,4,9,8,7,30
247,0,15,1,2,2,5,0,9,0,17,15,30
31,3,39,1,1,3,9,5,14,12,8,2,0
249,0,15,0,4,4,7,2,11,2,19,17,1
125,1,39,2,0,6,4,8,6,11,10,9,1
251,0,22,2,1,6,9,4,13,4,21,19,3
63,2,39,0,3,0,8,11,12,6,17,5,1
253,0,39,1,3,1,0,6,15,6,0,21,5
127,1,15,1,2,1,6,10,8,13,12,11,3
255,0,15,0,0,3,2,8,0,8,2,23,7
1,8,0,1,1,1,1,1,1,1,1,1,1
257,0,44,2,2,5,4,10,2,10,4,25,9
129,1,44,0,4,3,8,12,10,15,14,13,5
259,0,44,1,4,0,6,12,4,12,6,27,11
65,2,8,2,0,2,10,0,14,8,19,7,3
261,0,8,0,1,2,8,1,6,14,8,0,13
131,1,8,2,1,5,10,1,12,17,16,15,7
263,0,27,2,3,4,10,3,8,16,10,2,15
33,3,8,0,3,5,0,7,16,14,10,4,2
265,0,44,1,0,6,1,5,10,18,12,4,17
133,1,8,1,3,0,1,3,14,0,18,17,9
267,0,5,0,2,1,3,7,12,1,14,6,19
67,2,8,1,2,4,1,2,16,10,21,9,5
269,0,8,2,4,3,5,9,14,3,16,8,21
135,1,13,0,0,2,3,5,16,2,20,19,11
271,0,13,1,1,5,7,11,16,5,18,10,23
17,4,3,2,2,3,6,4,0,17,17,17,17
273,0,8,0,3,0,9,0,1,7,20,12,25
137,1,32,2,2,4,5,7,1,4,22,21,13
275,0,32,2,0,2,0,2,3,9,22,14,27
69,2,3,0,4,6,3,4,1,12,0,11,7
277,0,3,1,2,4,2,4,5,11,1,16,29
139,1,13,1,4,6,7,9,3,6,1,23,15
279,0,13,0,4,6,4,6,7,13,3,18,0
35,3,3,2,0,0,2,9,1,16,12,6,4
281,0,13,2,1,1,6,8,9,15,5,20,2
141,1,3,0,1,1,9,11,5,8,3,25,17
283,0,20,1,3,3,8,10,11,17,7,22,4
71,2,37,2,1,1,5,6,3,14,2,13,9
285,0,37,0,0,5,10,12,13,0,9,24,6
143,1,37,2,3,3,0,0,7,10,5,27,19
287,0,13,2,2,0,1,1,15,2,11,26,8
9,5,6,0,4,2,9,9,9,9,9,9,9
289,0,8,1,4,2,3,3,0,4,13,28,10
145,1,42,1,0,5,2,2,9,12,7,0,21
291,0,42,0,1,4,5,5,2,6,15,1,12
73,2,42,1,3,3,7,8,5,16,4,15,11
293,0,42,2,3,6,7,7,4,8,17,3,14
147,1,42,0,2,0,4,4,11,14,9,2,23
295,0,18,1,0,1,9,9,6,10,19,5,16
37,3,6,1,2,2,4,11,3,18,14,8,6
297,0,25,0,2,3,0,11,8,12,21,7,18
149,1,6,2,4,2,6,6,13,16,11,4,25
299,0,42,2,4,5,2,0,10,14,0,9,20
75,2,3,0,0,5,9,10,7,18,6,17,13
301,0,3,1,1,0,4,2,12,16,2,11,22
151,1,3,1,1,4,8,8,15,18,13,6,27
303,0,13,0,3,2,6,4,14,18,4,13,24
19,4,6,1,4,5,8,6,2,0,19,19,19
305,0,11,2,0,4,8,6,16,1,6,15,26
153,1,11,0,3,6,10,10,0,1,15,8,29
307,0,11,1,2,6,10,8,1,3,8,17,28
77,2,6,2,2,0,0,12,9,1,8,19,15
309,0,6,0,4,1,1,10,3,5,10,19,30
155,1,30,2,0,1,1,12,2,3,17,10,0
311,0,30,2,1,3,3,12,5,7,12,21,1
39,3,11,0,4,4,6,0,5,1,16,10,8
313,0,47,1,3,5,5,1,7,9,14,23,3
157,1,11,1,2,3,3,1,4,5,19,12,2
315,0,11,0,0,0,7,3,9,11,16,25,5
79,2,11,1,4,2,2,1,11,3,10,21,17
317,0,11,2,2,2,9,5,11,13,18,27,7
159,1,18,0,4,5,5,3,6,7,21,14,4
319,0,18,1,4,4,0,7,13,15,20,0,9
5,6,1,2,0,5,5,5,5,5,5,5,5
321,0,6,0,1,6,2,9,15,17,22,2,11
161,1,35,2,1,0,7,5,8,9,0,16,6
323,0,35,2,3,1,4,11,0,0,1,4,13
81,2,6,0,1,4,4,3,13,5,12,23,19
325,0,6,1,0,3,6,0,2,2,3,6,15
163,1,6,1,3,2,9,7,10,11,2,18,8
327,0,52,0,2,5,8,2,4,4,5,8,17
41,3,40,2,1,6,8,2,7,3,18,12,10
329,0,16,2,4,0,10,4,6,6,7,10,19
165,1,40,0,0,4,0,9,12,13,4,20,10
331,0,6,1,1,2,1,6,8,8,9,12,21
83,2,40,2,3,6,6,5,15,7,14,25,21
333,0,40,0,3,4,3,8,10,10,11,14,23
167,1,23,2,2,6,2,11,14,15,6,22,12
335,0,23,2,0,6,5,10,12,12,13,16,25
21,4,1,0,1,0,10,8,4,2,21,21,21
337,0,40,1,2,1,7,12,14,14,15,18,27
169,1,16,1,4,1,4,0,16,17,8,24,14
339,0,16,0,4,3,9,1,16,16,17,20,29
85,2,1,1,0,1,8,7,0,9,16,27,23
341,0,1,2,1,5,0,3,1,18,19,22,0
171,1,45,0,1,3,6,2,1,0,10,26,16
343,0,45,1,3,0,2,5,3,1,21,24,2
43,3,9,1,3,1,10,4,9,5,20,14,12
345,0,45,0,0,2,4,7,5,3,0,26,4
173,1,9,2,3,5,8,4,3,2,12,28,18
347,0,45,2,2,4,6,9,7,5,2,28,6
87,2,9,0,2,3,10,9,2,11,18,0,25
349,0,9,1,4,6,8,11,9,7,4,1,8
175,1,28,1,0,0,10,6,5,4,14,1,20
351,0,28,0,1,1,10,0,11,9,6,3,10
11,5,4,2,1,4,0,11,11,11,11,11,11
353,0,45,2,3,3,1,2,13,11,8,5,12
177,1,9,0,2,2,1,8,7,6,16,3,22
355,0,9,1,0,5,3,4,15,13,10,7,14
89,2,9,2,4,5,1,11,4,13,20,2,27
357,0,9,0,2,0,5,6,0,15,12,9,16
179,1,9,2,4,4,3,10,9,8,18,5,24
359,0,16,2,4,2,7,8,2,17,14,11,18
45,3,4,0,0,3,1,6,11,7,22,16,14
361,0,14,1,1,4,9,10,4,0,16,13,20
181,1,4,1,1,6,5,12,11,10,20,7,26
363,0,14,0,3,6,0,12,6,2,18,15,22
91,2,33,1,1,0,3,0,6,15,22,4,29
365,0,33,2,0,1,2,1,8,4,20,17,24
183,1,33,0,3,1,7,1,13,12,22,9,28
367,0,14,1,2,3,4,3,10,6,22,19,26
23,4,4,2,3,2,1,10,6,4,0,23,23
369,0,4,0,4,5,6,5,12,8,1,21,28
185,1,14,2,0,3,9,3,15,14,1,11,30
371,0,14,2,1,0,8,7,14,10,3,23,30
93,2,4,0,3,2,5,2,8,17,1,6,0
373,0,4,1,3,2,10,9,16,12,5,25,1
187,1,14,1,2,5,0,5,0,16,3,13,1
375,0,14,0,0,4,1,11,1,14,7,27,3
47,3,38,2,2,5,3,8,13,9,1,18,16
377,0,21,2,2,6,3,0,3,16,9,0,5
189,1,38,0,4,0,2,7,2,18,5,15,3
379,0,19,1,4,1,5,2,5,18,11,2,7
95,2,38,2,0,4,7,4,10,0,3,8,2
381,0,38,0,1,3,7,4,7,1,13,4,9
191,1,14,2,1,2,4,9,4,1,7,17,5
383,0,14,2,3,5,9,6,9,3,15,6,11
3,7,2,0,3,3,3,3,3,3,3,3,3
385,0,9,1,0,0,0,8,11,5,17,8,13
193,1,43,1,3,4,6,11,6,3,9,19,7
387,0,43,0,2,2,2,10,13,7,19,10,15
97,2,43,1,2,6,9,6,12,2,5,10,4
389,0,43,2,4,4,4,12,15,9,21,12,17
195,1,43,0,0,6,8,0,8,5,11,21,9
391,0,43,1,1,6,6,1,0,11,0,14,19
49,3,7,1,4,0,5,10,15,11,3,20,18
393,0,19,0,3,1,8,3,2,13,2,16,21
197,1,7,2,2,1,10,2,10,7,13,23,11
395,0,26,2,0,3,10,5,4,15,4,18,23
99,2,7,0,4,1,0,8,14,4,7,12,6
397,0,7,1,2,5,1,7,6,17,6,20,25
199,1,43,1,4,3,1,4,12,9,15,25,13
399,0,43,0,4,0,3,9,8,0,8,22,27
25,4,7,1,0,4,3,12,8,6,2,25,25
401,0,4,2,1,2,5,11,10,2,10,24,29
201,1,4,0,1,5,3,6,14,11,17,27,15
403,0,4,1,3,4,7,0,12,4,12,26,0
101,2,7,2,1,3,2,10,16,6,9,14,8
405,0,7,0,0,6,9,2,14,6,14,28,2
203,1,12,2,3,0,5,8,16,13,19,0,17
407,0,12,2,2,1,0,4,16,8,16,1,4
51,3,7,0,1,2,7,12,0,13,5,22,20
409,0,12,1,4,3,2,6,1,10,18,3,6
205,1,7,1,0,2,7,10,1,15,21,2,19
411,0,48,0,1,5,4,8,3,12,20,5,8
103,2,31,1,3,5,4,12,1,8,11,16,10
413,0,31,2,3,0,6,10,5,14,22,7,10
207,1,31,0,2,4,9,12,3,17,0,4,21
415,0,48,1,0,2,8,12,7,16,1,9,12
13,5,2,1,3,6,2,0,13,13,13,13,13
417,0,48,0,2,4,10,1,9,18,3,11,14
209,1,12,2,4,6,0,1,5,0,2,6,23
419,0,12,2,4,6,1,3,11,1,5,13,16
105,2,12,0,0,0,6,1,3,10,13,18,12
421,0,12,1,1,1,3,5,13,3,7,15,18
211,1,12,1,1,1,2,3,7,2,4,8,25
423,0,9,0,3,3,5,7,15,5,9,17,20
53,3,2,2,3,4,9,1,2,15,7,24,22
425,0,19,2,0,5,7,9,0,7,11,19,22
213,1,2,0,3,3,4,5,9,4,6,10,27
427,0,17,1,2,0,9,11,2,9,13,21,24
107,2,36,2,2,2,8,3,5,12,15,20,14
429,0,36,0,4,2,0,0,4,11,15,23,26
215,1,36,2,0,5,6,7,11,6,8,12,29
431,0,12,2,1,4,2,2,6,13,17,25,28
27,4,41,0,2,6,5,1,10,8,4,27,27
433,0,7,1,3,6,4,4,8,15,19,27,30
217,1,7,1,2,0,8,9,13,8,10,14,0
435,0,7,0,0,1,6,6,10,17,21,0,1
109,2,41,1,4,4,10,5,7,14,17,22,16
437,0,41,2,2,3,8,8,12,0,0,2,3
219,1,17,0,4,2,10,11,15,10,12,16,2
439,0,17,1,4,5,10,10,14,2,2,4,5
55,3,41,1,0,6,0,3,4,17,9,26,24
441,0,7,0,1,0,1,12,16,4,4,6,7
221,1,41,2,1,4,1,0,0,12,14,18,4
443,0,17,2,3,2,3,1,1,6,6,8,9
111,2,24,0,1,6,1,7,9,16,19,24,18
445,0,24,1,0,4,5,3,3,8,8,10,11
223,1,24,1,3,6,3,2,2,14,16,20,6
447,0,34,0,2,6,7,5,5,10,10,12,13
7,6,5,1,2,0,7,7,7,7,7,7,7
449,0,41,2,4,1,9,7,7,12,12,14,15
225,1,17,0,0,1,5,4,4,16,18,22,8
451,0,17,1,1,3,0,9,9,14,14,16,17
113,2,2,2,3,1,3,9,11,18,21,26,20
453,0,2,0,3,5,2,11,11,16,16,18,19
227,1,2,2,2,3,7,6,6,18,20,24,10
455,0,12,2,0,0,4,0,13,18,18,20,21
57,3,10,0,2,1,2,5,6,0,11,28,26
457,0,46,1,2,2,6,2,15,1,20,22,23
229,1,10,1,4,5,9,8,8,1,22,26,12
459,0,46,0,4,4,8,4,0,3,22,24,25
115,2,10,1,0,3,5,11,13,1,0,28,22
461,0,10,2,1,6,10,6,2,5,1,26,27
231,1,46,0,1,0,0,10,10,3,1,28,14
463,0,46,1,3,1,1,8,4,7,3,28,29
29,4,5,2,4,1,7,3,12,10,6,0,29
465,0,10,0,0,3,3,10,6,9,5,1,0
233,1,29,2,3,2,2,12,12,5,3,1,16
467,0,29,2,2,5,5,12,8,11,7,3,2
117,2,5,0,2,5,7,0,15,3,2,1,24
469,0,5,1,4,0,7,1,10,13,9,5,4
235,1,46,1,0,4,4,1,14,7,5,3,18
471,0,46,0,1,2,9,3,12,15,11,7,6
59,3,10,2,4,3,4,7,8,2,13,1,28
473,0,10,2,3,4,0,5,14,17,13,9,8
237,1,10,0,2,6,6,3,16,9,7,5,20
475,0,7,1,0,6,2,7,16,0,15,11,10
119,2,10,2,4,0,9,2,0,5,4,3,26
477,0,10,0,2,1,4,9,1,2,17,13,12
239,1,17,2,4,1,8,5,1,11,9,7,22
479,0,17,2,4,3,6,11,3,4,19,15,14
15,5,5,0,0,1,4,2,15,15,15,15,15
481,0,15,1,1,5,8,0,5,6,21,17,16
241,1,5,1,1,3,10,7,3,13,11,9,24
483,0,5,0,3,0,10,2,7,8,0,19,18
121,2,34,1,1,2,0,4,2,7,6,5,28
485,0,34,2,0,2,1,4,9,10,2,21,20
243,1,34,0,3,5,1,9,5,15,13,11,26
487,0,51,1,2,4,3,6,11,12,4,23,22
61,3,5,1,1,5,6,9,10,4,15,3,30
489,0,15,0,4,6,5,8,13,14,6,25,24
245,1,5,2,0,0,3,11,7,17,15,13,28
491,0,51,2,1,1,7,10,15,16,8,27,26
123,2,15,0,3,4,2,6,4,9,8,7,30
493,0,15,1,3,3,9,12,0,18,10,0,28
247,1,15,1,2,2,5,0,9,0,17,15,30
495,0,34,0,0,5,0,1,2,1,12,2,30
31,4,39,1,1,3,9,5,14,12,8,2,0
497,0,5,2,2,0,2,3,4,3,14,4,1
249,1,15,0,4,4,7,2,11,2,19,17,1
499,0,15,1,4,2,4,5,6,5,16,6,3
125,2,39,2,0,6,4,8,6,11,10,9,1
501,0,39,0,1,4,6,7,8,7,18,8,5
251,1,22,2,1,6,9,4,13,4,21,19,3
503,0,22,2,3,6,8,9,10,9,20,10,7
63,3,39,0,3,0,8,11,12,6,17,5,1
505,0,20,1,0,1,10,11,12,11,22,12,9
253,1,39,1,3,1,0,6,15,6,0,21,5
507,0,10,0,2,3,1,0,14,13,1,14,11
127,2,15,1,2,1,6,10,8,13,12,11,3
509,0,15,2,4,5,3,2,16,15,3,16,13
255,1,15,0,0,3,2,8,0,8,2,23,7
511,0,20,1,1,0,5,4,1,17,5,18,15
1,9,0,1,1,1,1,1,1,1,1,1,1
513,0,10,0,3,2,7,6,3,0,7,20,17
257,1,44,2,2,5,4,10,2,10,4,25,9
515,0,44,2,0,4,9,8,5,2,9,22,19
129,2,44,0,4,3,8,12,10,15,14,13,5
517,0,44,1,2,6,0,10,7,4,11,24,21
259,1,44,1,4,0,6,12,4,12,6,27,11
519,0,20,0,4,1,2,12,9,6,13,26,23
65,3,8,2,0,2,10,0,14,8,19,7,3
