

# `n`       a positive odd integer
# `base3`   the ternary representation of n
# `base2`   the binary representation of n
# `dist`    the number of odd-to-odd Collatz for n steps to reach 1
# `nl`      the odd core valuation of the even number n-1 to the left of odd n
# `nr`      the odd core valuation of the even number n+1 to the right of odd n
# `m*`      the prime residues of n modulo a set of primes
# `factors` the prime factors of n

    n,     base3,          base2, dist,        nl,        nr, m3, m5, m7, m11, m13, m17, factors
  189,     21000,       10111101,   38,    (47 2),    (95 1), 0,  4,  0,  2,   7,   2,   {3 7}
  191,     21002,       10111111,   14,    (95 1),     (3 6), 2,  1,  2,  4,   9,   4,   {191}
  193,     21011,       11000001,   43,     (3 6),    (97 1), 1,  3,  4,  6,   11,  6,   {193}
  195,     21020,       11000011,   43,    (97 1),    (49 2), 0,  0,  6,  8,   0,   8,   {3 5 13}
  197,     21022,       11000101,    7,    (49 2),    (99 1), 2,  2,  1,  10,  2,   10,  {197}
  199,     21101,       11000111,   43,    (99 1),    (25 3), 1,  4,  3,  1,   4,   12,  {199}
  201,     21110,       11001001,    4,    (25 3),   (101 1), 0,  1,  5,  3,   6,   14,  {3 67}
  203,     21112,       11001011,   12,   (101 1),    (51 2), 2,  3,  0,  5,   8,   16,  {7 29}
  205,     21121,       11001101,    7,    (51 2),   (103 1), 1,  0,  2,  7,   10,  1,   {5 41}
  207,     21200,       11001111,   31,   (103 1),    (13 4), 0,  2,  4,  9,   12,  3,   {3 23}
  209,     21202,       11010001,   12,    (13 4),   (105 1), 2,  4,  6,  0,   1,   5,   {11 19}
  211,     21211,       11010011,   12,   (105 1),    (53 2), 1,  1,  1,  2,   3,   7,   {211}
  213,     21220,       11010101,    2,    (53 2),   (107 1), 0,  3,  3,  4,   5,   9,   {3 71}
  215,     21222,       11010111,   36,   (107 1),    (27 3), 2,  0,  5,  6,   7,   11,  {5 43}
  217,     22001,       11011001,    7,    (27 3),   (109 1), 1,  2,  0,  8,   9,   13,  {7 31}
  219,     22010,       11011011,   17,   (109 1),    (55 2), 0,  4,  2,  10,  11,  15,  {3 73}
  221,     22012,       11011101,   41,    (55 2),   (111 1), 2,  1,  4,  1,   0,   0,   {13 17}
  223,     22021,       11011111,   24,   (111 1),     (7 5), 1,  3,  6,  3,   2,   2,   {223}
  225,     22100,       11100001,   17,     (7 5),   (113 1), 0,  0,  1,  5,   4,   4,   {3 5}
  227,     22102,       11100011,    2,   (113 1),    (57 2), 2,  2,  3,  7,   6,   6,   {227}
  229,     22111,       11100101,   10,    (57 2),   (115 1), 1,  4,  5,  9,   8,   8,   {229}
  231,     22120,       11100111,   46,   (115 1),    (29 3), 0,  1,  0,  0,   10,  10,  {3 7 11}
  233,     22122,       11101001,   29,    (29 3),   (117 1), 2,  3,  2,  2,   12,  12,  {233}
  235,     22201,       11101011,   46,   (117 1),    (59 2), 1,  0,  4,  4,   1,   14,  {5 47}
  237,     22210,       11101101,   10,    (59 2),   (119 1), 0,  2,  6,  6,   3,   16,  {3 79}
  239,     22212,       11101111,   17,   (119 1),    (15 4), 2,  4,  1,  8,   5,   1,   {239}
  241,     22221,       11110001,    5,    (15 4),   (121 1), 1,  1,  3,  10,  7,   3,   {241}
  243,    100000,       11110011,   34,   (121 1),    (61 2), 0,  3,  5,  1,   9,   5,   {3}
  245,    100002,       11110101,    5,    (61 2),   (123 1), 2,  0,  0,  3,   11,  7,   {5 7}
  247,    100011,       11110111,   15,   (123 1),    (31 3), 1,  2,  2,  5,   0,   9,   {13 19}
  249,    100020,       11111001,   15,    (31 3),   (125 1), 0,  4,  4,  7,   2,   11,  {3 83}
  251,    100022,       11111011,   22,   (125 1),    (63 2), 2,  1,  6,  9,   4,   13,  {251}
  253,    100101,       11111101,   39,    (63 2),   (127 1), 1,  3,  1,  0,   6,   15,  {11 23}
  255,    100110,       11111111,   15,   (127 1),     (1 8), 0,  0,  3,  2,   8,   0,   {3 5 17}
  257,    100112,      100000001,   44,     (1 8),   (129 1), 2,  2,  5,  4,   10,  2,   {257}
  259,    100121,      100000011,   44,   (129 1),    (65 2), 1,  4,  0,  6,   12,  4,   {7 37}
  261,    100200,      100000101,    8,    (65 2),   (131 1), 0,  1,  2,  8,   1,   6,   {3 29}
  263,    100202,      100000111,   27,   (131 1),    (33 3), 2,  3,  4,  10,  3,   8,   {263}
  265,    100211,      100001001,   44,    (33 3),   (133 1), 1,  0,  6,  1,   5,   10,  {5 53}
  267,    100220,      100001011,    5,   (133 1),    (67 2), 0,  2,  1,  3,   7,   12,  {3 89}
  269,    100222,      100001101,    8,    (67 2),   (135 1), 2,  4,  3,  5,   9,   14,  {269}
  271,    101001,      100001111,   13,   (135 1),    (17 4), 1,  1,  5,  7,   11,  16,  {271}
  273,    101010,      100010001,    8,    (17 4),   (137 1), 0,  3,  0,  9,   0,   1,   {3 7 13}
  275,    101012,      100010011,   32,   (137 1),    (69 2), 2,  0,  2,  0,   2,   3,   {5 11}
  277,    101021,      100010101,    3,    (69 2),   (139 1), 1,  2,  4,  2,   4,   5,   {277}
  279,    101100,      100010111,   13,   (139 1),    (35 3), 0,  4,  6,  4,   6,   7,   {3 31}
  281,    101102,      100011001,   13,    (35 3),   (141 1), 2,  1,  1,  6,   8,   9,   {281}
  283,    101111,      100011011,   20,   (141 1),    (71 2), 1,  3,  3,  8,   10,  11,  {283}
  285,    101120,      100011101,   37,    (71 2),   (143 1), 0,  0,  5,  10,  12,  13,  {3 5 19}
  287,    101122,      100011111,   13,   (143 1),     (9 5), 2,  2,  0,  1,   1,   15,  {7 41}
  289,    101201,      100100001,    8,     (9 5),   (145 1), 1,  4,  2,  3,   3,   0,   {17}
  291,    101210,      100100011,   42,   (145 1),    (73 2), 0,  1,  4,  5,   5,   2,   {3 97}
  293,    101212,      100100101,   42,    (73 2),   (147 1), 2,  3,  6,  7,   7,   4,   {293}
  295,    101221,      100100111,   18,   (147 1),    (37 3), 1,  0,  1,  9,   9,   6,   {5 59}
  297,    102000,      100101001,   25,    (37 3),   (149 1), 0,  2,  3,  0,   11,  8,   {3 11}
  299,    102002,      100101011,   42,   (149 1),    (75 2), 2,  4,  5,  2,   0,   10,  {13 23}
  301,    102011,      100101101,    3,    (75 2),   (151 1), 1,  1,  0,  4,   2,   12,  {7 43}
  303,    102020,      100101111,   13,   (151 1),    (19 4), 0,  3,  2,  6,   4,   14,  {3 101}
  305,    102022,      100110001,   11,    (19 4),   (153 1), 2,  0,  4,  8,   6,   16,  {5 61}
  307,    102101,      100110011,   11,   (153 1),    (77 2), 1,  2,  6,  10,  8,   1,   {307}
  309,    102110,      100110101,    6,    (77 2),   (155 1), 0,  4,  1,  1,   10,  3,   {3 103}
  311,    102112,      100110111,   30,   (155 1),    (39 3), 2,  1,  3,  3,   12,  5,   {311}
  313,    102121,      100111001,   47,    (39 3),   (157 1), 1,  3,  5,  5,   1,   7,   {313}
  315,    102200,      100111011,   11,   (157 1),    (79 2), 0,  0,  0,  7,   3,   9,   {3 5 7}
  317,    102202,      100111101,   11,    (79 2),   (159 1), 2,  2,  2,  9,   5,   11,  {317}
  319,    102211,      100111111,   18,   (159 1),     (5 6), 1,  4,  4,  0,   7,   13,  {11 29}
  321,    102220,      101000001,    6,     (5 6),   (161 1), 0,  1,  6,  2,   9,   15,  {3 107}
  323,    102222,      101000011,   35,   (161 1),    (81 2), 2,  3,  1,  4,   11,  0,   {17 19}
  325,    110001,      101000101,    6,    (81 2),   (163 1), 1,  0,  3,  6,   0,   2,   {5 13}
  327,    110010,      101000111,   52,   (163 1),    (41 3), 0,  2,  5,  8,   2,   4,   {3 109}
  329,    110012,      101001001,   16,    (41 3),   (165 1), 2,  4,  0,  10,  4,   6,   {7 47}
  331,    110021,      101001011,    6,   (165 1),    (83 2), 1,  1,  2,  1,   6,   8,   {331}
  333,    110100,      101001101,   40,    (83 2),   (167 1), 0,  3,  4,  3,   8,   10,  {3 37}
  335,    110102,      101001111,   23,   (167 1),    (21 4), 2,  0,  6,  5,   10,  12,  {5 67}
  337,    110111,      101010001,   40,    (21 4),   (169 1), 1,  2,  1,  7,   12,  14,  {337}
  339,    110120,      101010011,   16,   (169 1),    (85 2), 0,  4,  3,  9,   1,   16,  {3 113}
  341,    110122,      101010101,    1,    (85 2),   (171 1), 2,  1,  5,  0,   3,   1,   {11 31}
  343,    110201,      101010111,   45,   (171 1),    (43 3), 1,  3,  0,  2,   5,   3,   {7}
  345,    110210,      101011001,   45,    (43 3),   (173 1), 0,  0,  2,  4,   7,   5,   {3 5 23}
  347,    110212,      101011011,   45,   (173 1),    (87 2), 2,  2,  4,  6,   9,   7,   {347}
  349,    110221,      101011101,    9,    (87 2),   (175 1), 1,  4,  6,  8,   11,  9,   {349}
  351,    111000,      101011111,   28,   (175 1),    (11 5), 0,  1,  1,  10,  0,   11,  {3 13}
  353,    111002,      101100001,   45,    (11 5),   (177 1), 2,  3,  3,  1,   2,   13,  {353}
  355,    111011,      101100011,    9,   (177 1),    (89 2), 1,  0,  5,  3,   4,   15,  {5 71}
  357,    111020,      101100101,    9,    (89 2),   (179 1), 0,  2,  0,  5,   6,   0,   {3 7 17}
  359,    111022,      101100111,   16,   (179 1),    (45 3), 2,  4,  2,  7,   8,   2,   {359}
  361,    111101,      101101001,   14,    (45 3),   (181 1), 1,  1,  4,  9,   10,  4,   {19}
  363,    111110,      101101011,   14,   (181 1),    (91 2), 0,  3,  6,  0,   12,  6,   {3 11}
  365,    111112,      101101101,   33,    (91 2),   (183 1), 2,  0,  1,  2,   1,   8,   {5 73}
  367,    111121,      101101111,   14,   (183 1),    (23 4), 1,  2,  3,  4,   3,   10,  {367}
  369,    111200,      101110001,    4,    (23 4),   (185 1), 0,  4,  5,  6,   5,   12,  {3 41}
  371,    111202,      101110011,   14,   (185 1),    (93 2), 2,  1,  0,  8,   7,   14,  {7 53}
  373,    111211,      101110101,    4,    (93 2),   (187 1), 1,  3,  2,  10,  9,   16,  {373}
  375,    111220,      101110111,   14,   (187 1),    (47 3), 0,  0,  4,  1,   11,  1,   {3 5}
  377,    111222,      101111001,   21,    (47 3),   (189 1), 2,  2,  6,  3,   0,   3,   {13 29}
  379,    112001,      101111011,   19,   (189 1),    (95 2), 1,  4,  1,  5,   2,   5,   {379}
  381,    112010,      101111101,   38,    (95 2),   (191 1), 0,  1,  3,  7,   4,   7,   {3 127}
  383,    112012,      101111111,   14,   (191 1),     (3 7), 2,  3,  5,  9,   6,   9,   {383}
  385,    112021,      110000001,    9,     (3 7),   (193 1), 1,  0,  0,  0,   8,   11,  {5 7 11}
  387,    112100,      110000011,   43,   (193 1),    (97 2), 0,  2,  2,  2,   10,  13,  {3 43}
  389,    112102,      110000101,   43,    (97 2),   (195 1), 2,  4,  4,  4,   12,  15,  {389}
  391,    112111,      110000111,   43,   (195 1),    (49 3), 1,  1,  6,  6,   1,   0,   {17 23}
  393,    112120,      110001001,   19,    (49 3),   (197 1), 0,  3,  1,  8,   3,   2,   {3 131}
  395,    112122,      110001011,   26,   (197 1),    (99 2), 2,  0,  3,  10,  5,   4,   {5 79}
  397,    112201,      110001101,    7,    (99 2),   (199 1), 1,  2,  5,  1,   7,   6,   {397}
  399,    112210,      110001111,   43,   (199 1),    (25 4), 0,  4,  0,  3,   9,   8,   {3 7 19}
  401,    112212,      110010001,    4,    (25 4),   (201 1), 2,  1,  2,  5,   11,  10,  {401}
  403,    112221,      110010011,    4,   (201 1),   (101 2), 1,  3,  4,  7,   0,   12,  {13 31}
  405,    120000,      110010101,    7,   (101 2),   (203 1), 0,  0,  6,  9,   2,   14,  {3 5}
  407,    120002,      110010111,   12,   (203 1),    (51 3), 2,  2,  1,  0,   4,   16,  {11 37}
  409,    120011,      110011001,   12,    (51 3),   (205 1), 1,  4,  3,  2,   6,   1,   {409}
  411,    120020,      110011011,   48,   (205 1),   (103 2), 0,  1,  5,  4,   8,   3,   {3 137}
  413,    120022,      110011101,   31,   (103 2),   (207 1), 2,  3,  0,  6,   10,  5,   {7 59}
  415,    120101,      110011111,   48,   (207 1),    (13 5), 1,  0,  2,  8,   12,  7,   {5 83}
  417,    120110,      110100001,   48,    (13 5),   (209 1), 0,  2,  4,  10,  1,   9,   {3 139}
  419,    120112,      110100011,   12,   (209 1),   (105 2), 2,  4,  6,  1,   3,   11,  {419}
  421,    120121,      110100101,   12,   (105 2),   (211 1), 1,  1,  1,  3,   5,   13,  {421}
  423,    120200,      110100111,    9,   (211 1),    (53 3), 0,  3,  3,  5,   7,   15,  {3 47}
  425,    120202,      110101001,   19,    (53 3),   (213 1), 2,  0,  5,  7,   9,   0,   {5 17}
  427,    120211,      110101011,   17,   (213 1),   (107 2), 1,  2,  0,  9,   11,  2,   {7 61}
  429,    120220,      110101101,   36,   (107 2),   (215 1), 0,  4,  2,  0,   0,   4,   {3 11 13}
  431,    120222,      110101111,   12,   (215 1),    (27 4), 2,  1,  4,  2,   2,   6,   {431}
  433,    121001,      110110001,    7,    (27 4),   (217 1), 1,  3,  6,  4,   4,   8,   {433}
  435,    121010,      110110011,    7,   (217 1),   (109 2), 0,  0,  1,  6,   6,   10,  {3 5 29}
  437,    121012,      110110101,   41,   (109 2),   (219 1), 2,  2,  3,  8,   8,   12,  {19 23}
  439,    121021,      110110111,   17,   (219 1),    (55 3), 1,  4,  5,  10,  10,  14,  {439}
  441,    121100,      110111001,    7,    (55 3),   (221 1), 0,  1,  0,  1,   12,  16,  {3 7}
  443,    121102,      110111011,   17,   (221 1),   (111 2), 2,  3,  2,  3,   1,   1,   {443}
  445,    121111,      110111101,   24,   (111 2),   (223 1), 1,  0,  4,  5,   3,   3,   {5 89}
  447,    121120,      110111111,   34,   (223 1),     (7 6), 0,  2,  6,  7,   5,   5,   {3 149}
  449,    121122,      111000001,   41,     (7 6),   (225 1), 2,  4,  1,  9,   7,   7,   {449}
  451,    121201,      111000011,   17,   (225 1),   (113 2), 1,  1,  3,  0,   9,   9,   {11 41}
  453,    121210,      111000101,    2,   (113 2),   (227 1), 0,  3,  5,  2,   11,  11,  {3 151}
  455,    121212,      111000111,   12,   (227 1),    (57 3), 2,  0,  0,  4,   0,   13,  {5 7 13}
  457,    121221,      111001001,   46,    (57 3),   (229 1), 1,  2,  2,  6,   2,   15,  {457}
  459,    122000,      111001011,   46,   (229 1),   (115 2), 0,  4,  4,  8,   4,   0,   {3 17}
  461,    122002,      111001101,   10,   (115 2),   (231 1), 2,  1,  6,  10,  6,   2,   {461}
  463,    122011,      111001111,   46,   (231 1),    (29 4), 1,  3,  1,  1,   8,   4,   {463}
  465,    122020,      111010001,   10,    (29 4),   (233 1), 0,  0,  3,  3,   10,  6,   {3 5 31}
  467,    122022,      111010011,   29,   (233 1),   (117 2), 2,  2,  5,  5,   12,  8,   {467}
  469,    122101,      111010101,    5,   (117 2),   (235 1), 1,  4,  0,  7,   1,   10,  {7 67}
  471,    122110,      111010111,   46,   (235 1),    (59 3), 0,  1,  2,  9,   3,   12,  {3 157}
  473,    122112,      111011001,   10,    (59 3),   (237 1), 2,  3,  4,  0,   5,   14,  {11 43}
  475,    122121,      111011011,    7,   (237 1),   (119 2), 1,  0,  6,  2,   7,   16,  {5 19}
  477,    122200,      111011101,   10,   (119 2),   (239 1), 0,  2,  1,  4,   9,   1,   {3 53}
  479,    122202,      111011111,   17,   (239 1),    (15 5), 2,  4,  3,  6,   11,  3,   {479}
  481,    122211,      111100001,   15,    (15 5),   (241 1), 1,  1,  5,  8,   0,   5,   {13 37}
  483,    122220,      111100011,    5,   (241 1),   (121 2), 0,  3,  0,  10,  2,   7,   {3 7 23}
  485,    122222,      111100101,   34,   (121 2),   (243 1), 2,  0,  2,  1,   4,   9,   {5 97}
  487,    200001,      111100111,   51,   (243 1),    (61 3), 1,  2,  4,  3,   6,   11,  {487}
  489,    200010,      111101001,   15,    (61 3),   (245 1), 0,  4,  6,  5,   8,   13,  {3 163}
  491,    200012,      111101011,   51,   (245 1),   (123 2), 2,  1,  1,  7,   10,  15,  {491}
  493,    200021,      111101101,   15,   (123 2),   (247 1), 1,  3,  3,  9,   12,  0,   {17 29}
  495,    200100,      111101111,   34,   (247 1),    (31 4), 0,  0,  5,  0,   1,   2,   {3 5 11}
  497,    200102,      111110001,    5,    (31 4),   (249 1), 2,  2,  0,  2,   3,   4,   {7 71}
  499,    200111,      111110011,   15,   (249 1),   (125 2), 1,  4,  2,  4,   5,   6,   {499}
  501,    200120,      111110101,   39,   (125 2),   (251 1), 0,  1,  4,  6,   7,   8,   {3 167}
  503,    200122,      111110111,   22,   (251 1),    (63 3), 2,  3,  6,  8,   9,   10,  {503}
  505,    200201,      111111001,   20,    (63 3),   (253 1), 1,  0,  1,  10,  11,  12,  {5 101}
  507,    200210,      111111011,   10,   (253 1),   (127 2), 0,  2,  3,  1,   0,   14,  {3 13}
  509,    200212,      111111101,   15,   (127 2),   (255 1), 2,  4,  5,  3,   2,   16,  {509}
  511,    200221,      111111111,   20,   (255 1),     (1 9), 1,  1,  0,  5,   4,   1,   {7 73}
  513,    201000,     1000000001,   10,     (1 9),   (257 1), 0,  3,  2,  7,   6,   3,   {3 19}
  515,    201002,     1000000011,   44,   (257 1),   (129 2), 2,  0,  4,  9,   8,   5,   {5 103}
  517,    201011,     1000000101,   44,   (129 2),   (259 1), 1,  2,  6,  0,   10,  7,   {11 47}
  519,    201020,     1000000111,   20,   (259 1),    (65 3), 0,  4,  1,  2,   12,  9,   {3 173}
  521,    201022,     1000001001,   44,    (65 3),   (261 1), 2,  1,  3,  4,   1,   11,  {521}
  523,    201101,     1000001011,   44,   (261 1),   (131 2), 1,  3,  5,  6,   3,   13,  {523}
  525,    201110,     1000001101,    8,   (131 2),   (263 1), 0,  0,  0,  8,   5,   15,  {3 5 7}
  527,    201112,     1000001111,   27,   (263 1),    (33 4), 2,  2,  2,  10,  7,   0,   {17 31}
  529,    201121,     1000010001,    8,    (33 4),   (265 1), 1,  4,  4,  1,   9,   2,   {23}
