# `n`       a positive odd integer
# `base3`   the ternary representation of n
# `base2`   the binary representation of n
# `dist`    the number of odd-to-odd Collatz for n steps to reach 1
# `nl`      the odd core valuation of the even number n-1 to the left of odd n
# `nr`      the odd core valuation of the even number n+1 to the right of odd n
# `sm*`     the signed prime residues of n modulo a set of primes
# `factors` the prime factors of n

       n,           base3,                   base2, dist,          nl,           nr, m3, m5, m7, m11, m13, m17, m19, m23, m29, m31, m37, m41, m43, m47, m53, m59, m61, m67, m71, m73, m79, m83, m89, m97, m101, m103, m107, m109, m113, m127, factors
   15173,       202210222,          11101101000101,   22,    (3793 2),     (7587 1), 2,  3,  4,  4,   2,   9,   11,  16,  6,   14,  3,   3,   37,  39,  15,  10,  45,  31,  50,  62,  5,   67,  43,  41,  23,   32,   86,   22,   31,   60,   {15173}
    2845,        10220101,            101100011101,   21,     (711 2),     (1423 1), 1,  0,  3,  7,   11,  6,   14,  16,  3,   24,  33,  16,  7,   25,  36,  13,  39,  31,  5,   71,  1,   23,  86,  32,  17,   64,   63,   11,   20,   51,   {5 569}
    1067,         1110112,             10000101011,   20,     (533 1),      (267 2), 2,  2,  3,  0,   1,   13,  3,   9,   23,  13,  31,  1,   35,  33,  7,   5,   30,  62,  2,   45,  40,  71,  88,  0,   57,   37,   104,  86,   50,   51,   {11 97}
    1601,         2012022,             11001000001,   19,      (25 6),      (801 1), 2,  1,  5,  6,   2,   3,   5,   14,  6,   20,  10,  2,   10,  3,   11,  8,   15,  60,  39,  68,  21,  24,  88,  49,  86,   56,   103,  75,   19,   77,   {1601}
    1201,         1122111,             10010110001,   18,      (75 4),      (601 1), 1,  1,  4,  2,   5,   11,  4,   5,   12,  23,  17,  12,  40,  26,  35,  21,  42,  62,  65,  33,  16,  39,  44,  37,  90,   68,   24,   2,    71,   58,   {1201}
     901,         1020101,              1110000101,   17,     (225 2),      (451 1), 1,  1,  5,  10,  4,   0,   8,   4,   2,   2,   13,  40,  41,  8,   0,   16,  47,  30,  49,  25,  32,  71,  11,  28,  93,   77,   45,   29,   110,  12,   {17 53}
     169,           20021,                10101001,   16,      (21 3),       (85 1), 1,  4,  1,  4,   0,   16,  17,  8,   24,  14,  21,  5,   40,  28,  10,  51,  47,  35,  27,  23,  11,  3,   80,  72,  68,   66,   62,   60,   56,   42,   {13}
     127,           11201,                 1111111,   15,      (63 1),        (1 7), 1,  2,  1,  6,   10,  8,   13,  12,  11,  3,   16,  4,   41,  33,  21,  9,   5,   60,  56,  54,  48,  44,  38,  30,  26,   24,   20,   18,   14,   0,    {127}
     191,           21002,                10111111,   14,      (95 1),        (3 6), 2,  1,  2,  4,   9,   4,   1,   7,   17,  5,   6,   27,  19,  3,   32,  14,  8,   57,  49,  45,  33,  25,  13,  94,  90,   88,   84,   82,   78,   64,   {191}
     287,          101122,               100011111,   13,     (143 1),        (9 5), 2,  2,  0,  1,   1,   15,  2,   11,  26,  8,   28,  0,   29,  5,   22,  51,  43,  19,  3,   68,  50,  38,  20,  93,  85,   81,   73,   69,   61,   33,   {7 41}
     431,          120222,               110101111,   12,     (215 1),       (27 4), 2,  1,  4,  2,   2,   6,   13,  17,  25,  28,  24,  21,  1,   8,   7,   18,  4,   29,  5,   66,  36,  16,  75,  43,  27,   19,   3,    104,  92,   50,   {431}
     647,          212222,              1010000111,   11,     (323 1),       (81 3), 2,  2,  3,  9,   10,  1,   1,   3,   9,   27,  18,  32,  2,   36,  11,  57,  37,  44,  8,   63,  15,  66,  24,  65,  41,   29,   5,    102,  82,   12,   {647}
     971,         1022222,              1111001011,   10,     (485 1),      (243 2), 2,  1,  5,  3,   9,   2,   2,   5,   14,  10,  9,   28,  25,  31,  17,  27,  56,  33,  48,  22,  23,  58,  81,  1,   62,   44,   8,    99,   67,   82,   {971}
    1457,         1222222,             10110110001,    9,      (91 4),      (729 1), 2,  2,  1,  5,   1,   12,  13,  8,   7,   0,   14,  22,  38,  0,   26,  41,  54,  50,  37,  70,  35,  46,  33,  2,   43,   15,   66,   40,   101,  60,   {31 47}
    1093,         1111111,             10001000101,    8,     (273 2),      (547 1), 1,  3,  1,  4,   1,   5,   10,  12,  20,  8,   20,  27,  18,  12,  33,  31,  56,  21,  28,  71,  66,  14,  25,  26,  83,   63,   23,   3,    76,   77,   {1093}
     205,           21121,                11001101,    7,      (51 2),      (103 1), 1,  0,  2,  7,   10,  1,   15,  21,  2,   19,  20,  0,   33,  17,  46,  28,  22,  4,   63,  59,  47,  39,  27,  11,  3,    102,  98,   96,   92,   78,   {5 41}
      77,            2212,                 1001101,    6,      (19 2),       (39 1), 2,  2,  0,  0,   12,  9,   1,   8,   19,  15,  3,   36,  34,  30,  24,  18,  16,  10,  6,   4,   77,  77,  77,  77,  77,   77,   77,   77,   77,   77,   {7 11}
      29,            1002,                   11101,    5,       (7 2),       (15 1), 2,  4,  1,  7,   3,   12,  10,  6,   0,   29,  29,  29,  29,  29,  29,  29,  29,  29,  29,  29,  29,  29,  29,  29,  29,   29,   29,   29,   29,   29,   {29}
      11,             102,                    1011,    4,       (5 1),        (3 2), 2,  1,  4,  0,   11,  11,  11,  11,  11,  11,  11,  11,  11,  11,  11,  11,  11,  11,  11,  11,  11,  11,  11,  11,  11,   11,   11,   11,   11,   11,   {11}
      17,             122,                   10001,    3,       (1 4),        (9 1), 2,  2,  3,  6,   4,   0,   17,  17,  17,  17,  17,  17,  17,  17,  17,  17,  17,  17,  17,  17,  17,  17,  17,  17,  17,   17,   17,   17,   17,   17,   {17}
      13,             111,                    1101,    2,       (3 2),        (7 1), 1,  3,  6,  2,   0,   13,  13,  13,  13,  13,  13,  13,  13,  13,  13,  13,  13,  13,  13,  13,  13,  13,  13,  13,  13,   13,   13,   13,   13,   13,   {13}
       5,              12,                     101,    1,       (1 2),        (3 1), 2,  0,  5,  5,   5,   5,   5,   5,   5,   5,   5,   5,   5,   5,   5,   5,   5,   5,   5,   5,   5,   5,   5,   5,   5,    5,    5,    5,    5,    5,    {5}
       1,               1,                       1,    0,       (0 0),        (1 1), 1,  1,  1,  1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,    1,    1,    1,    1,    1,    {}


